job_title,company_name,company_location,posted_time,description
"Senior Data Scientist, Scotiabank",Scotiabank,"Toronto, Ontario, Canada",5 days ago,"Requisition ID: 194791Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture.The Senior Data Scientist will design and implement machine learning models, algorithms and applications that solve complex problems in the context of global operations and compliance technology.Is this role right for you? In this role you will:Conduct data analysis, data cleansing, feature engineering, and exploratory data analysis to identify trends, insights, and patterns in large datasets.Lead research and identify new technologies, techniques and methodologies that can be applied to the development of machine learning solutions.Develop and maintain a deep understanding of the bank's internal operations, businesses, and processes, as well as industry best practices and emerging technologies in machine learning and lead the team in delivery.Collaborate with stakeholders to understand business needs and translate them into machine learning solutions that deliver measurable value.Collaborate with other engineering teams and cross-functional teams to deliver proof of concepts that showcase the potential of machine learning to drive innovation and improve our internal operations and businesses.Communicate complex technical concepts and results to both technical and non-technical stakeholders, including senior management, business partners, and regulators.Stay current with the latest machine learning research and techniques, and with industry developments in machine learning and evaluate their potential impact on the organization.Help the team in adapting the latest AI technology and services including IBM WatsonX, Google Vertex AI, Azure OpenAI and AI Builder to support bank’s employees and improve processes. Foster a culture of innovation and continuous learning within the team and contribute to the development of new data science initiatives and strategies.SkillsDo you have the skills that will enable you to succeed in this role? We'd love to work with you if you have:The role requires a person who is very skilled in developing AI/ML models including GEN AI (LLM), Natural Language Processing and Natural Language Understanding, Convolutional Neural Networks, Feedforward Neural Networks, and Reinforcement Learning which is critical for development of ML modules in Innovation team. is necessary for building the whole pipeline of AI products built in the team. The data analysis and data visualization skill-set is required for the team in different stages of developing a product including Exploratory Data Analysis at the beginning, Error Analysis during the product development, and Data Visualization for training of ML models as well as Monitoring of the product after deployment.Experience working with latest AI technology/services including multiple open-source models, Google Vertex AI, IBM WatsonX and Azure Open AI.What's in it for you?Diversity, Equity, Inclusion & Allyship - We strive to create an inclusive culture where every employee is empowered to reach their fullest potential, respected for who they are, and are embraced through bias-free practices and inclusive values across Scotiabank. We embrace diversity and provide opportunities for all employee to learn, grow & participate through our various Employee Resource Groups (ERGs) that span across diverse gender identities, ethnicity, race, age, ability & veterans.Accessibility and Workplace Accommodations - We value the unique skills and experiences each individual brings to the Bank, and are committed to creating and maintaining an inclusive and accessible environment for everyone. Scotiabank continues to locate, remove and prevent barriers so that we can build a diverse and inclusive environment while meeting accessibility requirements. Upskilling through online courses, cross-functional development opportunities, and tuition assistance. Competitive Rewards program including bonus, flexible vacation, personal, sick days and benefits will start on day one.Community Engagement - no matter where you choose to work from; we offer opportunities for community engagement & belonging with our various programs such as hackathons, contests, cooking with friends, Humans of Digital and much more!Working location condition: HybridLocation(s): Canada : Ontario : TorontoScotiabank is a leading bank in the Americas. Guided by our purpose: ""for every future"", we help our customers, their families and their communities achieve success through a broad range of advice, products and services, including personal and commercial banking, wealth management and private banking, corporate and investment banking, and capital markets.At Scotiabank, we value the unique skills and experiences each individual brings to the Bank, and are committed to creating and maintaining an inclusive and accessible environment for everyone. If you require accommodation (including, but not limited to, an accessible interview site, alternate format documents, ASL Interpreter, or Assistive Technology) during the recruitment and selection process, please let our Recruitment team know. If you require technical assistance, please click here. Candidates must apply directly online to be considered for this role. We thank all applicants for their interest in a career at Scotiabank; however, only those candidates who are selected for an interview will be contacted."
Data Scientist - Canada,Coinbase,"Québec, Quebec, Canada",2 weeks ago,"At Coinbase, our mission is to increase economic freedom around the world, and we couldn’t do this without hiring the best people. We’re a group of hard-working overachievers who are deeply focused on building the future of finance and Web3 for our users across the globe, whether they’re trading, storing, staking or using crypto. Know those people who always lead the group project? That’s us.There are a few things we look for across all hires we make at Coinbase, regardless of role or team. First, we look for candidates who will thrive in a culture like ours, where we default to trust, embrace feedback, and disrupt ourselves. Second, we expect all employees to commit to our mission-focused approach to our work. Finally, we seek people who are excited to learn about and live crypto, because those are the folks who enjoy the intense moments in our sprint and recharge work culture. We’re a remote-first company looking to hire the absolute best talent all over the world.Ready to ? Who you are:You’ve got positive energy. You’re optimistic about the future and determined to get there. You’re never tired of learning. You want to be a pro in bleeding edge tech like DeFi, NFTs, DAOs, and Web 3.0. You appreciate direct communication. You’re both an active communicator and an eager listener - because let’s face it, you can’t have one without the other. You’re cool with candid feedback and see every setback as an opportunity to grow.You can pivot on the fly. Crypto is constantly evolving, so our priorities do, too. What you worked on last month may not be what you work on today, and that excites you. You’re not looking for a boring job.You have a “can do” attitude. Our teams create high-quality work on quick timelines. Owning a problem doesn’t scare you, but rather empowers you to take 100% responsibility for achieving our mission.You want to be part of a winning team. We’re stronger together, and you’re a person who embraces being pushed out of your comfort zone. Data Science is an integral component of Coinbase’s product and decision making process: we work in partnership with Product, Engineering and Design to influence the roadmap and better understand our users. With a deep expertise in experimentation, analytics and advanced modeling, we produce insights which directly move the company’s bottom line.What You’ll Be Doing (ie. Job Duties)Act as a strategic partner to functional teams: initiate and execute deep analyses and models to prioritize opportunities and provide actionable recommendations. Design and guide experiments/analysis to measure impact and drive product improvements. Measure business performance, develop / refine core metrics and create reporting to understand and monitor them. Synthesize data learnings into compelling stories and communicate them throughout Coinbase and to senior executives. Conduct deep dives to help solve complex problems to drive impact for our business. Initiate, develop, and maintain data pipelines with outstanding craftsmanship. What We Look For In You (ie. Job Requirements)BA / BS degree in a quantitative field (ex Math, Stats, Physics, or Computer Science) with 5+ years relevant experience, or or PhD degree in a related field with + 2 years of relevant experience. Ability to independently create plans for projects and a track record of overseeing large / complex analytical projects spanning multiple teams. Understanding of statistical concepts and practical experience applying them (in A|B testing, causal inference, ML, etc.). Experience in data analyses using SQL. Experience in programming/modeling in Python. Demonstration of our core cultural values: clear communication, positive energy, continuous learning, and efficient execution. Nice To HavesData engineering skills + a willingness to do lower level work to improve data foundations as needed. ID: G2462Pay Transparency Notice: The target annual salary for this position can range as detailed below. Full time offers from Coinbase also include target bonus + target equity + benefits (including medical, dental, and vision).Pay Range$149,500—$149,500 CADCommitment to Equal OpportunityCoinbase is committed to diversity in its workforce and is proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, sex, gender expression or identity, sexual orientation or any other basis protected by applicable law. Coinbase will also consider for employment qualified applicants with criminal histories in a manner consistent with applicable federal, state and local law. For US applicants, you may view Pay Transparency, Employee Rights and Know Your Rights notices by clicking on their corresponding links. Additionally, Coinbase participates in the E-Verify program in certain locations, as required by law.Coinbase is also committed to providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please complete this intake form to let us know the nature of your request and your contact information. For quick access to screen reading technology compatible with this site click here to download a free compatible screen reader (free step by step tutorial can be found here).Global Data Privacy Notice for Job Candidates and ApplicantsDepending on your location, the General Data Protection Regulation (GDPR) and California Consumer Privacy Act (CCPA) may regulate the way we manage the data of job applicants. Our full notice outlining how data will be processed as part of the application procedure for applicable locations is available here. By submitting your application, you are agreeing to our use and processing of your data as required. For US applicants only, by submitting your application you are agreeing to arbitration of disputes as outlined here."
Machine Learning Developer,MindPal,"Toronto, Ontario, Canada",3 months ago,We are looking for Machine Learning DeveloperJob ResponsibilitiesWorking on machine learning projects Analyzing and processing data to create machine learning models Implementing and optimizing machine learning algorithms Testing and evaluating models Collaborating with the programming team and other departments within the company to develop innovative solutions RequirementsMinimum 2 years of experience in the field of machine learning Knowledge of machine learning algorithms and techniques Ability to analyze and process data Familiarity with machine learning tools and technologies Proficient in English communication Education in computer science We OfferB2B contract type Full-time employment Remote and flexible working hours
Machine Learning Engineer (Canada),Tiger Analytics,"Toronto, Ontario, Canada",8 months ago,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner.We are looking for a motivated and passionate Machine Learning Engineers for our team.As part of this job, you will be responsible for:Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutionsCreating Scalable Machine Learning systems that are highly performantBuilding reusable production data pipelines for implemented machine learning modelsWriting production-quality code and libraries that can be packaged as containers, installed and deployedRequirementsBachelor's degree or higher in computer science or related, with 5+ years of work experienceAbility to collaborate with Data Engineers and Data Scientist to build data and model pipelines and help running machine learning tests and experimentsAbility to manage the infrastructure and data pipelines needed to bring ML solution to productionEnd-to-end understanding of applications being created and maintain scalable machine learning solutions in productionAbility to abstract complexity of production for machine learning using containersAbility to troubleshoot production machine learning model issues, including recommendations for retrain, revalidate, and improvementsExperience with Big Data Projects using multiple types of structured and unstructured dataAbility to work with a global team, playing a key role in communicating problem context to the remote teamsExcellent communication and teamwork skillsAdditional Skills Required:Python, Spark, Hadoop, Docker, with an emphasis on good coding practices in a continuous integration context, model evaluation, and experimental designTest-driven development (prefer py. test/nose), experience with Cloud environmentsProficiency in statistical tools, relational databases, and expertise in programming language like python/SQL is desiredGood to have:Knowledge of ML frameworks like Scikitlearn, Tensorflow, Keras, etcKnowledge of MLflow, Airflow, KubernetesKnowledge on any of the cloud-native MLaaS offerings like AWS SageMaker, AzureML, or Google AI platformBenefitsSignificant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility."
Data Scientist,Equifax,"Toronto, Ontario, Canada",2 weeks ago,"Do you have a passion for being at the forefront of Data Science innovation and building cutting edge, scalable analytical solutions? Are you a tech savvy individual looking for an exciting, dynamic role to grow your career fast with one of the largest global data analytics and technology companies? Do you want to create new products and push business forward enabling Canadians to live their financial best? If you get excited about designing & developing Machine Learning solutions blending science, art & business logic and unlocking the power of data to solve complex business problems, we would love to hear from you!As a Data scientist within the Data & Analytics team at Equifax Canada, you will be essential to driving Data Science forward, working closely with the rest of the Canadian Equifax Data Science & Insights team. You will partner with peers, internal stakeholders and external clients to deliver the best decision science models & attributes that leverage Equifax’s vast data assets. These include decision areas covering the credit lifecycle, geodemographic & marketing attributes, ratings & fraud models, as well as any new areas where data driven decision making can be informed by predictive modeling including advanced modeling techniques and machine learning. You will extract the data you need, create new predictive models, and lead analysis of the data and share insights with peers.What You’ll Do Develop new tools, advanced analytical techniques and products.  Work with key clients, stakeholders to support development of proprietary analytical products, custom scores and effectively communicate analytical results to key stakeholders using strong data visualizations, superior presentation skills and business language to emphasize the “so what” of the analysis.  Project management including defining business and technical requirements, resource planning and analytical solution design.  Provide recommendations and market insights that support solving complex business problems.  Ensure quality control of all analytical output. What Experience You Need 2+ years of data science experience with strong knowledge of Python, SQL, R or SAS in a large data environment.  Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks.  Proficiency designing, building and implementing analytical solutions to solve real world problems, with limited direct supervision required.  Proven track record of building models with the best packages including scikit learn, XGBoost, Tensorflow, PyTorch, Transformers.  Bachelor’s or advanced degree in a quantitative discipline such as Engineering, Economics, Mathematics, Statistics, or Physics is essential. What Could Set You Apart A background in financial services, telecommunications or utilities.  Experience working with credit or fraud data.  Experience with development and deployment of models in a cloud based environment such as AWS or GCP is preferred.  Master’s level degree in a business-related field/MBA."
Data Scientist,Belcan,"Mississauga, Ontario, Canada",4 days ago,"Job Title: Data science12 month renewable contractLocation: Mississauga, ONArea code: 416, 647Postal code: L5T Start Date: ASAPKeywords: #Data.science.jobs #Engine.analysis.jobs #Aerospace.jobs- Development and validation of new engine specific health monitoring functions, trend data cleansing scripts and their Portal interfaces.- Support to development of engine model specific KPI dashboards- Analysis of engine operational data (from the field and test cell)- Update of engineering process documentation- Engineering support for field engine investigations- Validation of new digital engine services as part of EIS roll out- Integration test support with aircraft OEMs-Development/Conversion of Operational & Prognostic algorithms/scripts, documentation, and their Production deployment-Deployment DPHM Services on client portal-Post EIS Algorithm & Feature Refinements, Field Support, QCPC fixes-Update engineering best practices and process documentation -Release engineering reports and presentations -Conduct software validation and verification testing -QCPC and Field Support troubleshooting - Update Dashboards RI AC N/A 10 Conduct Design Reviews/IPT Approval Meetings"
Data Scientist,Clio - Cloud-Based Legal Technology,"Calgary, Alberta, Canada",3 days ago,"Clio is more than just a tech company–we are a global leader that is transforming the legal experience for all by bettering the lives of legal professionals while increasing access to justice.Summary:We are currently looking for a new Intermediate Data Scientist, to join our Data Insights team and work closely with Clio’s products and business teams.You thrive on both analytical challenges and working closely with product development and customer-facing professionals. You will collaborate with everyone from product managers to business leaders and developers, and will guide rapid iterations of hypothesis, prioritization, experimentation / analysis and strategy setting – extract valuable insights, enhance our decision-making processes and contribute to the development of innovative financial products.The team:You will be working alongside a cross-functional team of data scientists, embedded within Clio’s products and business teams, developing AI and ML solutions to understand Clio’s customers, to bring them cutting-edge AI and GenAI products, and to recommend proactive and efficient ways to serve them better. You will play an integral role, enabling business leaders across Clio make rigorous data-driven decisions. You will help our business grow, help our customers succeed, and continuously improve the way we operate.Who you are:We aren’t looking for just any traditional Data Scientist to join this team. We’re looking for someone who takes data seriously, thrives in a rapid-growth, high-velocity environment, and lives and breathes our values. We’re looking for an innovator and a thought leader! We’re looking for someone who is:Passionate about driving growth empirically;Always looking to innovate with data and explore open-ended questions;Strategically minded and never shies away from a challenge;Self-motivated and able to work autonomously and collaboratively;Agile and responsive, and comfortable with constant change.You will help lay the foundation for this work by ensuring good data quality, data governance, and analytical practices. And you will also be part of our larger Data & AI team for learning, career development, and company-wide data initiatives.Here’s what you’ll need to do:Collaborate with the Clio products teams to refine business problems, develop hypotheses, and provide input that drives growth.Suggest new questions about our business, product, and customers that lead to impactful insights.Work with other team members to develop predictive AI and ML solutions and deploy them in production.Apply rigorous statistical analysis and data mining techniques to evaluate impact of different product features and other business initiatives.Employ statistical analysis, machine learning, GenAI, LLMs, etc. to unlock new product opportunities.Support scientific thinking in product and business teams by enabling discussions with data, disseminating best practices, and leading by example.Effectively communicate complex technical concepts and findings to both technical and non-technical audiences.What you may have:3+ years applied experience in data science.The ability to translate business requirements into data science solutions.Experience in developing analysis in Python and experience with relevant ML libraries and frameworks (e.g., pandas, PyTorch, scikit-learn)Strong team player mindset, while able to work under your own initiative and prioritize time and tasks effectively.Excellent written and verbal communication skills.Ability to write structured SQL queries for answering questions and manipulating data.Serious bonus points if you have:Understanding of SaaS business metrics and growth drivers.Experience with FinTech concepts.Experience in analytics working with product and user behavior data, e.g., retention or churn analysisExperience with building ML/AI pipelines and relevant tools (e.g., Kedro, MLFLow)Experience with large data sets and user behavior data.Experience with NLP and LLMs.A graduate degree in a relevant quantitative discipline (computer science, statistics, mathematics, physics, engineering) What you will find here:Compensation is one of the main components of Clio’s Total Rewards Program. We have developed a series of programs and processes to ensure we are creating fair and competitive pay practices that form the foundation of our human and high-performing culture.Some highlights of our Total Rewards program include:The expected salary range* for similar roles within Clio is: $106,500 - $144,200 CADCompetitive, equitable salary with top-tier health benefits, dental, and vision insurance Hybrid work environment, with expectation for local Clions (Vancouver, Calgary, Toronto, and Dublin) to be in office min. once per week on our Anchor Day. Flexible time off policy, with an encouraged 20 days off per year.$2000 annual counseling benefitRRSP matching and RESP contribution Clioversary recognition program with special acknowledgement at 3, 5, 7, and 10 yearsPlease note that the expected new hire salary range provided is derived from a group of like roles within Clio. Our salary bands are designed to reflect the range of skills and experience needed for the position and to allow room for growth at Clio. For experienced individuals, we typically hire at or around the midpoint of the band. The top portion of the salary band is reserved for employees who demonstrate sustained high performance and impact at Clio. Those who are new to the role may join below the midpoint and develop their skills over time. The final offer amount for this role will be dependent on geographical region, applicable experience, and skillset of the candidate.Diversity, Inclusion, Belonging and Equity (DIBE) & Accessibility Our team shows up as their authentic selves, and are united by our mission. We are dedicated to diversity, equity and inclusion. We pride ourselves in building and fostering an environment where our teams feel included, valued, and enabled to do the best work of their careers, wherever they choose to log in from. We believe that different perspectives, skills, backgrounds, and experiences result in higher-performing teams and better innovation. We are committed to equal employment and we encourage candidates from all backgrounds to apply.Clio provides accessibility accommodations during the recruitment process. Should you require any accommodation, please let us know and we will work with you to meet your needs.Learn more about our culture at clio.com/careers"
Python Developer,Prodigy Labs a UST Company,"Toronto, Ontario, Canada",2 days ago,"As a Software Developer working on the currency project, you will be concentrating on migrating on prem applications to cloud. Responsibility of this position includes the following:Effective and clean code development based on requirementsPerform unit testing & integration testingOptimize current ETL codeAssist support team on debugging production issuesDesired Skillsets:PythonSQL ServerJavaGitTDDScalaHadoop"
Machine Learning Engineer,Apex Systems,Canada,2 weeks ago,"Machine Learning EngineerApex Systems is a global IT services provider, and our staffing practice has an opening for a Machine Learning Engineer with Python, Scala, Spark experience to place at our client, a global ecommerce company.Client: Global Ecommerce CompanyTerms: 6 month rolling contract.Location: 100% RemoteApplication Process: It is best to apply via the medium on which you are seeing this posting. If you encounter technical difficulties submitting your resume, please send a Word version of your resume to Diana at dbaraky@apexsystems.com. Please reference: Machine Learning Engineer - ecommerceProject:Are you fascinated by machine learning and building robust machine learning pipelines which process massive amounts of data at scale and speed to provide crucial insights to the end consumers?This is exactly what we, the Machine Learning Engineering group, do.?Our mission is to partner with our Machine Learning Science counterparts to use AI/ML to collaboratively transform our data assets into intelligent and real-time insights to support a variety of applications which are used by 1000+ market managers, analysts, our supply partners, and our travelers.?Our work spans across a variety of datasets and ML models and across a diverse technology stack ranging from Spark, SageMaker, Airflow, DataBricks, Kubernetes, AWS and much more!Job Description:Design, develop, debug, and modify components of machine learning and deep learning systems and applications, including data/ETL and feature engineering pipelines. Work collaboratively with data scientists, machine learning engineers, program, and product managers in the development of assigned components. Prototype creative solutions quickly by developing minimum viable products.Ability to write robust code in one or more of Python, Scala, and Java Proficient in core technologies like Spark, Hadoop, and Hive. Experience in building real-time applications, preferably in Spark and streaming platforms like Kafka and Kinesis. Good understanding of machine learning pipelines and machine learning frameworks such as TensorFlow and PyTorch. Familiar with cloud services like AWS, Azure, and workflow orchestration tools (e.g., Airflow). Experienced in using SQL for querying data from relational tables. Key Qualifications: Degree with strong technical focus (Computer Science, Engineering).Soft Skills:Excellent analytical and problem-solving skills with an aptitude for troubleshooting issues.Drive for continuous improvement within an agile development team.Communicate and work with geographically distributed cross functional teams."
Senior Data Scientist - Payments and Fraud/Trust,Lime,Greater Montreal Metropolitan Area,2 weeks ago,"Lime is the world's largest shared electric vehicle company. We’re on a mission to build a future where transportation is shared, affordable and carbon-free. Our electric bikes and scooters have powered 400+ million rides in 250+ cities on 5 continents, replacing an estimated 100+ million car trips. Named a Time 100 Most Influential Company and Fast Company Brand That Matters, we achieved a fully profitable year in 2022, becoming the first in our industry to reach this milestone.Data is at the core of every decision at Lime - from designing vehicles to deploying them, enhancing the user’s experience, optimizing our supply chain or warehouse operations. Every team at Lime engages with Data Science & Analytics. Doing our job well means that we enable the entire organization’s ability to make more informed decisions, innovate faster, and serve our customers better.We are looking for an intellectually curious, highly motivated individual to join our Data Science & Analytics team. You will partner with our Engineering, Product, and Operations teams to identify critical issues to the business, develop a deep understanding of them, and design scalable solutions. You will leverage your quantitative and modeling skills to transform signals into insights, and insights into actions. You should have strong analytical insights, excellent communication abilities, and a knack for working across teams in a fast-paced environment.What you'll do:Collaborate with Product, Engineering, Operations and Finance to optimize the revenue loss due to fraud, abuse (promotions, referrals, refunds etc.) and carry out deeper analysis to optimize the payments process (fee, latency, payment service provider waterfall etc.)Develop machine learning models and rules to detect fraud and abuseCarry out deeper analysis, build dashboards to track key metrics Develop instrumentation to track progress against key business objectivesDesign, instrument, and analyze experiments to quantify the impact of product and operation changes and produce reliable insights that drive business efficiencyDevelop production-ready code and/or partner with engineering to deploy models/rules in the production environmentContribute to fraud and abuse related incident responseOptimize the tradeoff between fraud and abuse prevention vs good user experienceAbout you:A PhD or MS in a quantitative field (e.g., Operations Research, Economics, Statistics, Sciences, Engineering)5+ years of full-time work experience as a Data Analyst / Data Scientist at a technology or payments companyA highly skilled professional with expertise in product knowledge and intuition, ideally applied in consumer product development settingsA statistical expert with strong statistical knowledge and intuition, ideally applied in experimentation and observational causal studies settingsProficient in quantitative programming languages, such as Python or RSkilled in SQL and familiar with distributed data stores like S3, Presto, Hive, and SparkHighly effective in engaging with diverse stakeholders and adept at cultivating strong partnershipsExcellent with communication, conveying technical content to non-technical audiences, and collaborating across different functions to ensure real business impactStrategic-minded, impact-driven, and able to incorporate a larger business context into data questions and product developmentExperienced in building real-world machine learning models with demonstrated impactAdept in Data Processing; performing essential data preprocessing tasks, applying data transformation, normalization, and feature engineering to prepare datasets for analysisPreferred Qualifications: Experience with tools like Airflow and dbt to contribute to the creation and optimization of data pipelines, aiming to automate and improve data flow within the organizationPrior knowledge/experience on payments and fraud mitigationThe anticipated salary range for this position is CA$ 86,000 to CA$139,000. Equity and benefits may be provided as part of the compensation package, depending on the position offered. Not all candidates will be eligible for the upper end of the salary range. Exact salary will ultimately depend on multiple factors, which may include the successful candidate's skills, experience and other qualifications as well as the candidate's location of residence. In addition to base salary, some roles may be eligible for a variable bonus based on a combination of company performance, employee performance, and management discretion.Why Lime? When you join Lime, you join a global community of smart, caring, talented individuals working together to deliver world-changing results; striving to create an experience that enables Limers to do their best work. Here are some ways we support and invest in our team:Competitive salaries, performance-based annual bonus and pre-IPO equityHealth and wellness offerings for all team members starting day one including access to top-tier fitness and mindfulness appsFlexible vacation policies with ample paid holidays tailored to country of residenceFully-paid leave following the birth or adoption of a child and financial, medical and educational support for Limers pursuing parenthoodSupport for retirement and financial goals with unlimited access to financial advisorsUnlimited, complimentary use of our vehicles in hundreds of cities around the worldProfessional growth opportunities through quarterly learning days and top-tier toolsOpportunities to connect across teams and locations to network, socialize and volunteerCulture of belonging with Employee Resource Groups that engage and promote cultural awareness and DEI training across all functionsConsistent recognition of great work through meaningful rewards and career advancementsBenefits and perks vary depending on the nature of your employment and country of residence. Terms and conditions may apply.If you want to make an impact, Lime is the place for you. Not sure if you meet all the qualifications? If this role excites you we encourage you to apply. Explore all opportunities on our career page.Lime is an Equal Opportunity Employer, but that’s just the start. We believe different perspectives help us grow and achieve more. That’s why we’re dedicated to hiring and developing the most talented and globally diverse team – which includes individuals with different backgrounds, abilities, identities and experiences."
