3856120323,Vice President of Customer Support,Motion Recruitment,"Atlanta, GA",1 hour ago,"Vice President of Customer SupportAs the Vice President of Customer Support, you'll lead a dynamic team dedicated to enhancing the customer experience, driving satisfaction, and fostering loyalty. Your strategic vision and operational prowess will be instrumental in shaping the support landscape to align with the company's overarching goals and objectives.Key Responsibilities:Leadership and Strategy:Develop and execute a comprehensive customer support strategy that aligns with the company mission.Define clear performance objectives and KPIs to drive team excellence.Provide strategic leadership, aligning team efforts with organizational values.Foster a customer-centric culture, emphasizing excellence in customer experiences.Team Management:Recruit, train, and manage a team of customer support professionals to ensure alignment with company objectives.Offer ongoing coaching, feedback, and performance evaluations to nurture team development.Establish robust communication frameworks to foster a supportive team environment.Implement succession planning and talent development initiatives for sustained team effectiveness.Customer Experience Enhancement:Identify areas for improvement through thorough analysis of customer feedback and industry benchmarks.Collaborate cross-functionally to address customer issues and drive enhancements.Implement cutting-edge support technologies to optimize efficiency and personalize service.Stay abreast of industry trends to adapt strategies and maintain competitiveness.Performance Monitoring and Analysis:Monitor and analyze key support metrics and KPIs to drive performance improvements.Utilize data-driven insights to identify opportunities and implement strategies for enhancement.Prepare comprehensive reports and presentations for senior leadership, outlining successes, challenges, and proposed actions.Relationship Management:Cultivate and maintain relationships with key customers, partners, and stakeholders to understand needs and resolve issues.Collaborate closely with sales and account management teams to ensure seamless customer experiences.Act as a customer advocate within the organization, championing initiatives to enhance satisfaction.Crisis and Escalation Management:Develop and implement crisis management procedures to effectively handle escalations and challenging situations.Ensure timely and satisfactory resolution of escalated concerns, maintaining professionalism and clarity in communication.Address systemic issues proactively to prevent future escalations through corrective actions.Qualifications:Demonstrated senior leadership experience in customer support or related fields.In-depth knowledge of customer support strategies, best practices, and emerging technologies.Strong leadership qualities, with the ability to inspire and guide diverse teams.Excellent communication and interpersonal skills for effective stakeholder engagement.Analytical mindset, capable of leveraging data to drive continuous improvement.Strategic thinking and problem-solving abilities focused on achieving business objectives.Deep commitment to customer service excellence and empathy.Proven crisis management and escalation handling experience.Bachelor's degree in business administration, marketing, or related fields.Additional Information:Quarterly travel may be required to support offices and attend meetings.This is an excellent opportunity to become part of an awesome organization. Apply today to learn more!"
3852723097,Sr. Customer Success Manager,Social Benefit,"Los Angeles, CA",28 minutes ago,"Job OverviewSocial Benefit is seeking a Senior Customer Success Manager to join our team. This individual will report to the Head of Customer Experience and play a pivotal role in ensuring that Navigator users are able to take full advantage of the tool’s capabilities to navigate government benefits and tax credits so they can maximize economic mobility for their clients or themselves. Responsibilities:● Serve as the voice of Case Worker and Agency customers, representing their needs and priorities to the entire Social Benefit team and influencing the end-to-end customer experience. ● Develop and lead the Account Management function. This includes managing implementation and day-to-day operations with our customers and partnering with the Navigator’s co-founders and Head of Customer Experience to proactively identify and resolve customer-specific issues. ● Develop and lead the Training and Support function to meet the needs of our customers, case managers, and clients/individuals. This includes hiring and growing the team responsible for training and support resources for the Navigator product, benefits and tax credits, and how to most effectively help people navigate this landscape. ● Lead and facilitate Group Trainings in person and on Zoom for new and current customers.● Manage 1:1 assisted support staff, operations, and associated tools and technology (ZenDesk).● Provide input to product roadmap based on partner and user feedback and your knowledge and experience.● Partner with leadership team on customer/user communications strategy. Deliver communications based on this strategy.● Support operational processes to keep Navigator customers and users confident and current on benefit and tax credit policies and ensure that the product, training, and customer resources are accurate. ● Regularly assess and report on performance against established KPIs.● Partner with leadership team to identify hiring needs and build the team that will grow with the business.● Guide the work described above from startup mode to scalable models. ● Contribute to strategic decision-making processes and actively participate in the overall vision and growth of the company.  Qualifications:● 7+ years’ experience in case management, including managing case managers.● Deep knowledge of the Los Angeles County benefit systems and key entities within this system.● Demonstrated ability to transfer experience and knowledge into sustainable programs and resources.● Demonstrated ability to work collaboratively with cross-functional teams within and across organizations.● Learning mindset and comfortable moving between hands-on execution and planning / building for scale, with the judgment to balance immediate and long-term needs."
3855972061,Night Warehouse Order Selector,Direct Employers Jobs,"Kailua-Kona, HI",2 hours ago,"Compensation: $21.00/HourPosition SummaryThis position performs a variety of functions that may include receiving and processing incoming product, picking, and filling orders from stock, stacking, and wrapping product and/or building pallets. Our team members are active throughout their day working independently using a voice-controlled system to select full-case dry, cool, or frozen products in a multi-temperature warehouse environment using powered material handling equipment.Position Responsibilities May Include, But Not Limited ToSafely and accurately select customer orders, free of damageBuild orders according to assigned load ticketsShrink wrap and label ordersMove completed orders to the loading dock or trailerUse powered industrial equipment, such as a forklift, electric pallet jack or walkie-riderAccurately receive inbound products, replenish and manage inventory as neededPerform pre-shift equipment checks and safely operate powered industrial equipmentPerform basic sanitation duties to maintain a clean and safe environment, such as clearing aisles of debris and stacking empty palletsObserve all safety policies and procedures to meet productivity requirementsOther projects or duties as assignedRequired Skills And ExperienceMust be at least 18 years oldMust be able to pass a post-offer background check and drug testMust be able to lift products from 25 lbs. to 50 lbs. on a regular basis and up to 170 lbs. when handling keg productsMust have a demonstrated attention to detailPreferred Skills And ExperienceHigh School Diploma or General Education Degree (GED)6 months of related experience in high endurance or highly physical activity or role, such as lifting/transferring patients, sports/fitness, farming, construction work, landscaping, etc.Experience operating Material Handling Equipment in a multi-temperature environment, forklift certification a plusStocking, product handling, local delivery, or unloading experienceFoodservice distribution, grocery store, or beverage delivery experiencePhysical Demands And Work EnvironmentReasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Due to the nature of our business in regard to such things as delivery schedules, order inputs, selection, and Department of Transportation Hours of Service, overtime, attendance and punctuality are essential job functions. Should an individual in this classification not be able to adhere to this requirement due to a disability, they should contact their Human Resourcesdepartment to see what, if any, reasonable accommodation may be made.By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number ""63879"". Message & data rates may apply. Please refer to our privacy policy for more information."
3856133377,Marketing/Social Media Intern,FTC,"New York, NY",1 hour ago,"FTC Marketing and Social Media InternshipOverview: We are seeking a creative and enthusiastic individual to join our team as a Marketing and Social Media Intern. This internship offers the opportunity to gain hands-on experience in digital marketing, social media management, and content creation within a dynamic and innovative environment. The selected candidate will work closely with our marketing team to execute various marketing campaigns, promote upcoming events, engage with our online community, and contribute to our brand's online presence.Responsibilities:Assist in developing and implementing digital marketing campaigns across various platforms, including social media, email, and website.Create engaging content for social media channels, including but not limited to posts, stories, and graphics.Monitor and engage with our online community by responding to comments, messages, and inquiries in a timely and professional manner.Collaborate with team members to brainstorm creative ideas for campaigns, promotions, and content.Assist in analyzing campaign performance metrics and preparing reports to track key performance indicators (KPIs).Support the planning and execution of virtual and in-person events, including promotion and attendee engagement.Assist in managing the content calendar and scheduling posts across various social media platforms.Stay updated on social media trends, platform updates, and best practices to optimize our online presence.Perform other duties and responsibilities as assigned by the marketing manager or supervisor.Qualifications:Currently pursuing a Bachelor's degree in Marketing, Communications, Business, or a related field.Strong written and verbal communication skills, with a creative flair for content creation.Proficiency in social media platforms, including but not limited to Facebook, Instagram, Twitter, LinkedIn, and TikTok.Basic understanding of digital marketing principles and strategies.Ability to work independently as well as collaboratively in a team environment.Detail-oriented with strong organizational skills and the ability to multitask effectively.Photography, graphic design, or video editing skills are a plus but not required.Passion for marketing, social media, and staying current with industry trends.Duration and Compensation:This is a summer internship position with the possibility of extension based on performance and business needs.Compensation and benefits will be provided based on the candidate's qualifications and the company's internship policies.Application Instructions:Interested candidates should submit a resume and cover letter outlining their qualifications and interest in the position to: michaelr@foodtechco.com.Please include any relevant social media handles or portfolio links showcasing your work.Applications will be accepted until the end of March.Shortlisted candidates will be contacted for interviews.Join FTC and gain valuable experience in marketing and social media while contributing to the growth and success of our brand!"
3856133739,Product Manager,Oddball,United States,50 minutes ago,"Oddball believes that we can bring change and improve the daily lives of millions by bringing quality software to the federal space. Our team is full of experienced engineering, product, and user experience professionals who love bringing scalable solutions to life as much as they love working with clients to solve problems. We value learning, growth, and the ability to make a big impact at a rapidly growing company.Product Managers at Oddball are advocates, motivators, and some of the company’s most important decision-makers. To effectively serve in these roles, our product team exhibits strong domain knowledge, leadership, communication, intellectual aptitude, strategic visioning, and analytical decision-making skills. Each of these are critical to ultimately lead their teams in designing, developing, and shipping great products.We are looking for an experienced, data-driven, delivery-focused Product Manager to help lead our engineering efforts as we grow and deliver for our clients.What You'll Be DoingThe ideal candidate will be working collaboratively with management, engineering, and operations teams to oversee the design, creation, and seamless delivery of various products for our federal clients. This delivery-focused Product role will focus primarily on ensuring their products solve the client’s big problems.What You’ll Bring4+ years full product lifecycle experience working with quickly growing, technically focused companies.Experience leading and managing cross-functional agile teams that deliver user-facing products.Understanding of multiple disciplines such as Product Management, Engineering, Design, Sales, etc. A proven ability to solve problems and drive solutions with development teams through data analysis, market requirements, product specifications, and federal requirements.An eye for quality, organization, and clear communication with teams and clients.Federal work experience is preferred.RequirementsMust be a US Citizen and able to work domestically Must be able to attain low-level security clearance EducationBachelor's DegreeBenefitsFully remoteTech & Education StipendComprehensive Benefits PackageCompany Match 401(k) planFlexible PTO, Paid HolidaysEqual Opportunity Employer/Protected Veterans/Individuals With DisabilitiesOddball is an Equal Opportunity Employer and does not discriminate against applicants based on race, religion, color, disability, medical condition, legally protected genetic information, national origin, gender, sexual orientation, marital status, gender identity or expression, sex (including pregnancy, childbirth or related medical conditions), age, veteran status or other legally protected characteristics. Any applicant with a mental or physical disability who requires an accommodation during the application process should contact an Oddball HR representative to request such an accommodation by emailing hello@Oddball.ioThe contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)CompensationAt Oddball, it’s important each employee is compensated competitively and fairly. In alignment with state legal requirements. A range for the included position is listed below. Be advised, actual offer details are determined by job category, job location, and candidate skill level.United States Wage Range: $100,000 – $140,000"
3852724121,Junior Product Manager,CFG Merchant Solutions,New York City Metropolitan Area,31 minutes ago,"CFG Merchant Solutions, LLC (CFGMS) is a rapidly growing alternative finance company that provides working capital to small and medium sized businesses throughout the US in the form of Revenue Based Financing. As we continue to expand, we are looking for an enthusiastic and experienced Product Manager to join our team supporting multiple growth initiatives.As a Product Manager at CFGMS, you will play a critical role in engaging end users to translate requirements into actionable features, analyze data to inform recommendations, and work collaboratively to define product strategy and set the product roadmap. This is a highly cross functional role: you will work closely with our Development Team, stakeholders, and senior management to oversee the development of new internal tools and own the implementation of existing product enhancements. You will ensure our products meet the evolving needs of our customers and maintain a competitive edge in the Alternative Lending market.Key Responsibilities:Interface with key stakeholders and conduct customer interviews to uncover pain points and identify product opportunities and enhancements.Implement product strategy through roadmap execution for our internal applications, with a focus on increasing user engagement and driving impact on key business metrics.Collaborate with cross-functional teams, including Development, Operations, Underwriting, and Sales, to ensure product objectives are aligned with company goals.Prioritize product features and development efforts, ensuring timely and impactful deliveries.Develop and maintain detailed product requirements and specifications for the Development TeamsFunction as a liaison between the Development Team and stakeholders, facilitating communication and ensuring a clear understanding of product vision and objectives.Monitor product performance through KPIs, making data-driven decisions to refine and improve product offerings.Oversee customer success and new user onboarding for our internal applications.Qualifications:Minimum 1 year of Product Management experience, preferably in the finance or alternative lending industry.Strong business acumen with an ability to make data-driven decisions.Excellent communication and interpersonal skills, with a proven ability to work effectively with cross-functional teamsDemonstrated ability to manage complex projects and multiple priorities in a demanding environment.Bachelor’s degree in Business, Finance, Economics, Computer Science, or a related field."
3855974559,Recruiting Operations Lead,TurnPoint Search Group,New York City Metropolitan Area,2 hours ago,"TurnPoint Search is partnering with a global asset manager to hire a Recruiting Operations Lead for their campus team. Partnering closely with the Head of Campus Recruiting, this role will project manage all aspects of the campus recruitment process, from planning and execution to evaluation and optimization. Responsibilities will include but are not limited to:Collaborating closely with the campus recruiters, university partners, and internal stakeholders to ensure the success of our campus recruiting efforts.Developing and implementing strategic plans for campus recruiting initiatives, aligned with organizational goals and objectives.Identifying new recruitment events to maximize outreach and engagement with prospective candidates.Incorporating new and innovative strategies into the recruitment approach by staying abreast of industry trends.Collaborating with university partners and student organizations to enhance the visibility and impact of recruitment activities on campus.Managing the campus recruiting coordinators, ensuring a positive candidate experience from start to finish.Tracking and analyzing metrics related to campus recruiting activities, including candidate engagement, event attendance, and hiring outcomes.Generating regular reports and dashboards to communicate key insights and performance indicators to stakeholders.Using data-driven insights to identify areas for improvement and optimization in the recruitment process.Qualifications:Bachelor's degree required.7+ years of experience.Proven experience in campus or experienced recruiting.Strong project management skills, with the ability to manage multiple priorities and deadlines.Exceptional written and verbal communication and interpersonal skills.Strong proficiency in data analysis and reporting, with experience using recruiting software and applicant tracking systems.Knowledge of campus recruiting trends, best practices, and regulations.Position pays a base salary range of $150,000 - $225,000 per year, commensurate with experience and skill level. There is also the potential for a guaranteed annual bonus."
3852703048,Medical Claims Retrieval Specialist,Randstad Digital,United States,59 minutes ago,"Title: Medical Claims Retrieval SpecialistLocation: 100% RemotePay Rate: $15-16 on W2Shift: 8:45-5:15 Eastern Standard Time, Monday - FridayJob Description:Our team's mission is to support patients and elevate healthcare through diligent and accurate medical record retrieval. As the vital link between healthcare providers, insurers, and Cotiviti, we take pride in our role as trusted facilitators, enabling seamless collaboration and communication. We are steadfast in our commitment to excellence, driven by a passion for making a tangible impact on the lives of patients and the broader healthcare community. Together, we strive to create a world where high-quality care is accessible and attainable for all. We are seeking a highly motivated and experienced Medical Claims Retrieval Specialist to join our remote team. The ideal candidate should have excellent communication skills, be able to work independently and possess a background in healthcare or insurance-related industries. In addition, the candidate should be metrics-focused, able to use assertive language to progress objectives, demonstrate strong critical thinking skills, and have a mindset of self-improvement and continuous growth. Responsibilities:· Make outbound calls to medical providers and insurance companies to retrieve medical records and facilitate the claims retrieval process.· Utilize available resources to solve issues on the phone and reach out for help resolving claims when needed.· Request medical records on behalf of insurance companies for review and overcharge collection afterward.· Update the database with claim information and ensure the accuracy of data.· Meet daily/weekly/monthly call targets as set by management.· Actively seek feedback and apply it to improve performance and achieve objectives.· Continuously strive for self-improvement and professional growth. Requirements:· At least 1 year of experience in an outbound call center in a healthcare, insurance, or collections environment.· Strong communication skills, both written and verbal.· Ability to work independently and in a team environment.· Excellent organizational skills with the ability to multitask.· Proficient in Microsoft Office.· Knowledge of medical terminology and the insurance industry is highly preferred.· Must have a high-speed internet connection that is hardwired to the router.· Maintain a HIPAA-compliant environment, which includes an environment free of distractions, free of others being able to view/hear business activities, and in a secured area.· Metrics-focused mindset, with the ability to use assertive language to progress objectives and leverage strong critical thinking skills.· Openness to feedback and a commitment to continuous improvement and growth."
3854582873,Supply Chain Planner,Modere,"Springville, UT",20 hours ago,"Job PurposeThe Supply Chain Planner develops, prepares, updates, and maintains production schedules to ensure maximum efficiency to meet shipping and internal deadlines. This team member will assist in updating of ERP data, production reporting, and the integrity of system data. Also will collaborate closely with the procurement team to provide strategic and tactical buying support as needed and ensures compliance with purchasing policies and procedures.What You Will Be DoingUtilize ERP system to create, release and update Work Orders for production.Utilize scheduling tools to prepare, communicate, monitor, and update manufacturing schedules.Ensure components and raw materials for each batching/production order are available for manufacturing. Release production orders and send details to Document Control to get MBR/PBR created. Update priorities in the Quality INSP reports.Using the ERP, Microsoft office, and Smartsheet, create and maintain order dates and packets with coversheets in Microsoft Excel. Submit to Document Control to create the MBR/PBRs.Track batching and production orders through the issuing, batching, and packaging areas to ensure completion and quality release.Update Supply Chain reporting (Critical items, Shelf Life/Obsolescence, Stock Watch).Report order policy violations to Planner II and Planner III, and Supply Chain Managers.Order Shortages - Review all sales orders for inventory shortages. Provide status, ETA, driver, to Planners, Procurement, Supply Chain Managers and Operations leadership.Manage and maintain the production schedule in conjunction with all key stakeholders.Open Production Order Report - review and maintain all open production orders and manage all past due orders. Work with the appropriate departments to get the orders completed or cancelled.Initiate data for Deviations/NOE’ as necessary to provide adequate product flow.Assess capacity requirements and prioritize production lines in order of importance and efficiencies.QualificationsBachelor’s degree preferred.Minimum 1 year of supply chain planning, scheduling, and supplier management experience necessaryExperience in and/or an understanding of general manufacturing/inventory practices.Working knowledge of LN or other ERP System, and MRP.Excellent written and verbal communication.Must be able to prioritize and multitask.Self-motivated.Knowledge of Microsoft* Office. Smartsheet skills is a plus.Completion of Supply Chain courses preferred (APICs)."
3855993194,Health Navigator,Borinquen Health Care Ctr,"North Miami, FL",20 hours ago,"Borinquen Medical Centers is based in Miami, FL and is seeking to hire a Full-Time Health Navigator to join our team! The Health Navigator will work closely with the Outreach Coordinator to ensure proper continuation and expansion of HIV and PrEP patient navigation and adherence counseling program at Borinquen Medical Centers (BMC). In addition to primary care services, the navigator will ensure access to behavioral health services including mental health counseling and services, outpatient substance use treatment services, SSPs, and social services including transportation to appointments. The Health Navigator will link with local agencies for assistance with housing, food banks, SNAP, and for inpatient substance abuse services. The Health Navigator is the key liaison for cluster response with the Outreach Specialist and will work directly with patients eligible for Test and Treat and seeking consistent access and coverage for PrEP medications. The Health Navigator will ensure that participating clients receive relevant HIV/STI-related education and services, sexual health information, and navigation to health insurance if eligible. These services will be geared towards persons newly diagnosed with HIV and at-risk for HIV within the Miami-Dade County, including but not limited to cisgender/transgender women who have sex with men, and cisgender/transgender men who have sex with men, and any other persons at-risk for acquiring HIV (High Risk Individuals)The Health Navigator is responsible for ensuring HIV (+) patients are provided access to care, navigate in the continuum of care and ensure they receive their medication and appointments. For those HIV negative clients, he/she will ensure patients to be linked in care for PrEP and retained in care all within our Rapid Access program. Once in care, the health navigator will help to ensure these clients are engaging with the HIV healthcare system to improve their healthcare outcomes and overall quality of life. For those clients receiving PrEP the navigator will encourage and facilitate treatment compliance as well as education encouraging risk reduction practices. Navigator is responsible for assisting in the intake process to the agency of patient choice by gathering documentation and by providing support in order to expedite service delivery.Essential Job ResponsibilitiesCoordination and Linkage:Facilitates a welcome into the agency of patient choice and either provides or facilitates orientation/education regarding the agency and its services.Person in charge to coordinate the continuum of care across the agencyRefers patients for tracking and follow up by the Medication Adherence Case ManagerCoordinates with Outreach Specialist for cluster responses in the communityCoordinates with Medication Adherence Case Manager, Outreach Specialist and the care team to implement activities in the community to educate patients and community members in response to clusters or areas of high prevalence. Provides patient education and Facilitates Rapid Access (Test & Treat) and PrEP treatment.Facilitates registration into BHCC services including but not limited to Rapid Access and PrEP care coordination.Provides navigation services (including case management) on a regular basis (according to schedule) and for up to 12 months.Assist in the continued implementation of PrEP services and appointment scheduling in primary care for PrEP, while also ensuring that uninsured and under-insured PrEP clients receive education about coverage programs.Meet with patients, at least quarterly and/or as needed to assist them in filling out PrEP medication coverage applications and ensure appointments are kept with Medication Adherence Case Manager.Provide individual- and relationship-based HIV and STI counseling primarily within BMC’s Electronic Health Records System (EHRS).Provide education about Post-Exposure Prophylaxis (PEP), and other effective biomedical and prevention interventions; refer and coordinate for primary care to all clients to primary care medical services at BMC or the organization of their choice to further discuss PEP and other preventive care with a medical provider.Coordinate collaborative relationships related to PrEP implementation and service delivery, focusing on agencies located in and around Miami-Dade.Accurately complete all statistical data forms for PrEP, primarily within the Electronic Health Records System, ensuring complete and correct reimbursement for services rendered, when applicableReview and maintain up-to-date and accurate knowledge of emerging scientific research regarding biomedical HIV/STI prevention strategies, including PrEP, PEP and related interventions.Maintain highest level of client confidentiality; follow HIPAA regulations.Attend departmental meetings and trainings.Identifies patients need navigation to get into PrEP careCoordinates client’s appointments (hard linkage) to medical, medical case management, mental health, substance abuse treatment, education, or social service appointments to improve client’s well-being.Contact clients to evaluate medication adherence and follows up at least once a month, including verification and/or reminds them of appointments with other departments or other agencies.Communicates with clients one to three days before a foreseen hurricane/natural disaster according to emergency plan procedure.Health Education And NavigationProvides information and emotional support to patients through shared experiences using encouragement, reinforcement of healthful behaviors and helps to decrease client isolation. Provides emotional and educational support to patients who have mental health, substance abuse and homelessness issues. Serves as mentor regarding interaction with medical providers, helping patients prepare for visits and then debriefing what happened, depending on patient need. Provides educational support to clients to enhance their knowledge and understanding of medication protocols, side effects and adherence. Walks clients through appointments for medical care or other social services in order to ensure that clients have a clear understanding of initial steps that need to be taken to obtain appropriate services and will follow up at least once a month and provide on-going support and guidance. Keeps track of patient’s adherence and data points (as outlined in process) through approved documentation.Educates new clients on the care process and what to expect from the continuum of careParticipates in staff training sessions and other meetings as required by the agency and/or the funding sources. CollaborationProvides culturally competent patient navigation services in a variety of community settings.Acts as support staff in the implementation and facilitation of group sessions provided by the BHCC and/or external providers in conjunction with the HIV-PrEP educator and any other team member. Documentation, Compliance And Quality AssuranceMaintains Timely, Accurate, Legible and Clear chart documentation according to agency and funder requirements.Maintains record keeping requirements and assists with chart reviews for Q/A purposes as requested. Provides supervisor with information needed for end of month reporting and/or participates in program evaluation as requested. Assists in collecting client satisfaction survey data from assigned patients as requested. RequirementsBachelor’s in science or at least 5 years working in healthcare setting.2-4 years of experience working in HIV/STI prevention or other community health programs preferred.Outreach engagement and community education experience.Successful strategies in reaching hard to reach populations.Must attend required trainings HIV 104; 500; 501, Patient Training (5 days), Motivational Interviewing (2 days) within assigned timeframes.Receive TWIST, PROMISE and TRANSFORM trainings by the CDCProper driver license and clean driving record are required.Bilingual (English Spanish/English Creole) highly preferred. Own transportation is required.BenefitsMedical/Dental/Vision/Short Term DisabilityCompany paid long term disabilityLife insurance401K PlanStandard Paid Holiday'sVacation and Sick TimeAmazing Team & Atmosphere"
